id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,organization_animal_id,photos,primary_photo_cropped,videos,status,status_changed_at,published_at,distance,contact,_links,title,detail
48549546.0,NE111,https://www.petfinder.com/dog/bo-buster-48549546/ne/hastings/start-over-rover-inc-ne111/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Poodle', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Small,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Bo (Buster),,U2020128,[],,[],adoptable,2020-07-21 10:14:45+00:00,2020-07-21 10:14:45+00:00,,"{'email': 'adoption@startoverrover.org', 'phone': '402-834-0640', 'address': {'address1': '134 N Barnes Ave.', 'address2': None, 'city': 'Hastings', 'state': 'NE', 'postcode': '68901', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549546'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ne111'}}",,
48549950.0,FL249,https://www.petfinder.com/dog/delilah-48549950/fl/clermont/south-lake-animal-league-fl249/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'German Shepherd Dog', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': 'Black', 'secondary': 'Yellow / Tan / Blond / Fawn', 'tertiary': None}",Adult,Female,Medium,Medium,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Delilah,"______
DOB/AGE: 07/10/2019
WEIGHT (GROWN):  55-60 lbs 

I am currently in foster care, but very much adoptable.  You will need...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549950/1/?bust=1595337409'}",[],adopted,2020-07-31 01:39:20+00:00,2020-07-21 13:17:11+00:00,,"{'email': 'adoptions@theanimalleague.org', 'phone': '(352) 429-6334', 'address': {'address1': '4648 Baptist Island Road', 'address2': 'Groveland FL 32736', 'city': 'Clermont', 'state': 'FL', 'postcode': '34712', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549950'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl249'}}",,
48550360.0,NC1092,https://www.petfinder.com/dog/red-48550360/nc/raleigh/freedom-ride-rescue-nc1092/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Dogue de Bordeaux', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': 'Red / Chestnut / Orange', 'secondary': None, 'tertiary': None}",Adult,Male,Extra Large,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}","['Does well in the car', 'Food Motivated', 'House Trained', 'Moderate Energy', 'Needs Training', 'No Cats', 'Owner Experience', 'Shy timid']",Red,"Okay people, prepare yourself for this face. Meet big Red! Red is a French mastiff, whose heart is as big...",FRR-A-411,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/2/?bust=1597342229&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/2/?bust=1597342229&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/2/?bust=1597342229&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/2/?bust=1597342229'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/4/?bust=1597342227&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/4/?bust=1597342227&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/4/?bust=1597342227&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/4/?bust=1597342227'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/6/?bust=1597342227&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/6/?bust=1597342227&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/6/?bust=1597342227&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/6/?bust=1597342227'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/3/?bust=1597342226&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/3/?bust=1597342226&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/3/?bust=1597342226&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/3/?bust=1597342226'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/5/?bust=1597338624&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/5/?bust=1597338624&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/5/?bust=1597338624&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/5/?bust=1597338624'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550360/1/?bust=1597245026'}",[],adoptable,2020-07-21 14:00:23+00:00,2020-07-21 14:00:23+00:00,,"{'email': 'adopt@freedom-ride.org', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Raleigh', 'state': 'NC', 'postcode': '27604', 'country': 'US'}}","{'self': {'href': '/v2/animals/48550360'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/nc1092'}}",,
48549792.0,OH1071,https://www.petfinder.com/dog/stormy-48549792/oh/wadsworth/maggies-mission-oh1071/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Labrador Retriever', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': 'Black', 'secondary': None, 'tertiary': None}",Senior,Male,Large,Medium,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': True}",[],Stormy,What’s better than one laid back sweet cuddle bug? How about TWO laid back sweet cuddle bugs??   Rusty and Stormy...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/1/?bust=1595335611&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/1/?bust=1595335611&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/1/?bust=1595335611&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/1/?bust=1595335611'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/2/?bust=1595335625&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/2/?bust=1595335625&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/2/?bust=1595335625&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/2/?bust=1595335625'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/4/?bust=1595335674&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/4/?bust=1595335674&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/4/?bust=1595335674&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/4/?bust=1595335674'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549792/3/?bust=1595335643'}",[],adopted,2020-08-02 21:26:02+00:00,2020-07-21 12:49:55+00:00,,"{'email': 'maggiesmissionrescue@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Wadsworth', 'state': 'OH', 'postcode': '44281', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549792'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/oh1071'}}",,
48549854.0,FL1398,https://www.petfinder.com/dog/christian-48549854/fl/pompano-beach/naias-pet-rescue-fl1398/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Australian Shepherd', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Large,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': True, 'cats': False}",[],Christian,"Meet Christian!!

Christian was found by a police officer living under an abandoned car In a yard for two years....",14879345,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/3/?bust=1597236010&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/3/?bust=1597236010&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/3/?bust=1597236010&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/3/?bust=1597236010'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/2/?bust=1597236007&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/2/?bust=1597236007&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/2/?bust=1597236007&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/2/?bust=1597236007'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549854/1/?bust=1597236010'}",[],adopted,2020-07-21 12:53:20+00:00,2020-07-21 12:53:20+00:00,,"{'email': 'naiaspetrescue@gmail.com', 'phone': '954947PETS', 'address': {'address1': None, 'address2': None, 'city': 'Pompano Beach', 'state': 'FL', 'postcode': '33064', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549854'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/fl1398'}}",,
48550399.0,AL09,https://www.petfinder.com/cat/carson-48550399/al/columbiana/shelby-humane-society-al09/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Male,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Carson,,45059905,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/1/?bust=1597328229&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/1/?bust=1597328229&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/1/?bust=1597328229&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/1/?bust=1597328229'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/2/?bust=1597328225&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/2/?bust=1597328225&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/2/?bust=1597328225&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/2/?bust=1597328225'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/1/?bust=1597328229&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/1/?bust=1597328229&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/1/?bust=1597328229&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550399/1/?bust=1597328229'}",[],adoptable,2020-07-21 14:06:16+00:00,2020-07-21 14:06:16+00:00,,"{'email': 'info@shelbyhumane.org', 'phone': '(205) 669-3916', 'address': {'address1': '381 McDow Road', 'address2': None, 'city': 'Columbiana', 'state': 'AL', 'postcode': '35051', 'country': 'US'}}","{'self': {'href': '/v2/animals/48550399'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/al09'}}",,
48549803.0,SC523,https://www.petfinder.com/cat/jack-48549803/sc/chapin/feral-cat-solutions-of-chapin-inc-sc523/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': 'Tabby', 'mixed': True, 'unknown': False}","{'primary': 'Tabby (Orange / Red)', 'secondary': None, 'tertiary': None}",Baby,Male,Small,Short,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': True}","['loving', 'playful']",Jack,Little Jack was surrendered at the local animal shelter at a very young age in a Jack Daniels box.  He...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/3/?bust=1595335838&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/3/?bust=1595335838&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/3/?bust=1595335838&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/3/?bust=1595335838'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/1/?bust=1595335809&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/1/?bust=1595335809&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/1/?bust=1595335809&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/1/?bust=1595335809'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/2/?bust=1595335812&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/2/?bust=1595335812&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/2/?bust=1595335812&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/2/?bust=1595335812'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/3/?bust=1595335838&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/3/?bust=1595335838&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/3/?bust=1595335838&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549803/3/?bust=1595335838'}",[],adoptable,2020-07-21 12:52:08+00:00,2020-07-21 12:52:08+00:00,,"{'email': 'StarnesPetServices@yahoo.com', 'phone': '(803) 575-0437', 'address': {'address1': None, 'address2': None, 'city': 'Chapin', 'state': 'SC', 'postcode': '29036', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549803'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/sc523'}}",,
48549696.0,TX993,https://www.petfinder.com/dog/tia-48549696/tx/georgetown/williamson-county-regional-animal-shelter-tx993/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Mixed Breed', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Bicolor', 'secondary': None, 'tertiary': None}",Adult,Female,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],Tia,"This sweet gal is a volunteer favorite.  Good natured and easy on a leash, she is sure to make someone...",45090726,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/3/?bust=1595334577&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/3/?bust=1595334577&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/3/?bust=1595334577&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/3/?bust=1595334577'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/1/?bust=1595334565&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/1/?bust=1595334565&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/1/?bust=1595334565&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/1/?bust=1595334565'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/2/?bust=1595334569&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/2/?bust=1595334569&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/2/?bust=1595334569&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/2/?bust=1595334569'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/3/?bust=1595334577&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/3/?bust=1595334577&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/3/?bust=1595334577&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549696/3/?bust=1595334577'}",[],adopted,2020-07-22 11:23:39+00:00,2020-07-21 12:31:09+00:00,,"{'email': 'wcras@wilco.org', 'phone': '512-943-3322  ', 'address': {'address1': '1855 SE Inner Loop', 'address2': None, 'city': 'Georgetown', 'state': 'TX', 'postcode': '78626', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549696'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tx993'}}",,
48550008.0,LA48,https://www.petfinder.com/dog/flounder-48550008/la/slidell/slidell-animals-shelter-animal-assistance-of-slidell-la48/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Dog,Dog,"{'primary': 'Terrier', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': 'Brindle', 'secondary': 'White / Cream', 'tertiary': None}",Young,Male,Small,Short,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': None, 'cats': None}",[],Flounder,Case #16006. Flounder is a 1 year old Terrier Mix that was found at large and brought to the shelter...,#16006,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/3/?bust=1595338434&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/3/?bust=1595338434&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/3/?bust=1595338434&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/3/?bust=1595338434'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/1/?bust=1595338351&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/1/?bust=1595338351&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/1/?bust=1595338351&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/1/?bust=1595338351'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/2/?bust=1595338361&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/2/?bust=1595338361&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/2/?bust=1595338361&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/2/?bust=1595338361'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/4/?bust=1595338440&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/4/?bust=1595338440&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/4/?bust=1595338440&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/4/?bust=1595338440'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/3/?bust=1595338434&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/3/?bust=1595338434&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/3/?bust=1595338434&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48550008/3/?bust=1595338434'}",[],adopted,2020-07-26 04:09:09+00:00,2020-07-21 13:35:31+00:00,,"{'email': 'aalslidell@gmail.com', 'phone': '985-646-4267', 'address': {'address1': '2700 Terrace Ave', 'address2': None, 'city': 'Slidell', 'state': 'LA', 'postcode': '70458', 'country': 'US'}}","{'self': {'href': '/v2/animals/48550008'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/la48'}}",,
48549747.0,NJ325,https://www.petfinder.com/cat/elmo-and-fozzy-sweet-brothers-in-foster-care-48549747/nj/randolph/all-our-orphans-nj325/?referrer_id=5957d654-0b8d-4a02-bbae-6c7dd49e1074,Cat,Cat,"{'primary': 'Domestic Short Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'White', 'secondary': None, 'tertiary': None}",Baby,Male,Small,Short,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': None, 'cats': True}","['loving', 'playful', 'active', '']",Elmo & Fozzy-sweet brothers in foster care,"Meet Elmo and Fozzy - two beautiful brothers.  They almost look like Siamese kittens.  Not only are they beautiful, they...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/1/?bust=1595334256&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/1/?bust=1595334256&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/1/?bust=1595334256&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/1/?bust=1595334256'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/2/?bust=1595334264&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/2/?bust=1595334264&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/2/?bust=1595334264&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/2/?bust=1595334264'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/3/?bust=1595334271&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/3/?bust=1595334271&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/3/?bust=1595334271&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/3/?bust=1595334271'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/1/?bust=1595334256&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/1/?bust=1595334256&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/1/?bust=1595334256&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48549747/1/?bust=1595334256'}",[],adopted,2020-07-28 18:13:28+00:00,2020-07-21 12:25:41+00:00,,"{'email': 'doggie54@optonline.net', 'phone': '973-886-1485 ', 'address': {'address1': None, 'address2': None, 'city': 'Randolph', 'state': 'NJ', 'postcode': '07869', 'country': 'US'}}","{'self': {'href': '/v2/animals/48549747'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/nj325'}}",,
